"Código del artículo","Título","DOI o URL","Autor principal","Año de la publicación","Región geográfica  del estudio","Sitio del estudio (País, ciudad o ubicación geográfica)","Tipo de estudio","Grupo especifico poblacional","Periodos de estudio(Fechas)","Tiempo de duración del estudio","Fuente de información del incendio","Año/Periodo del incendio","Localización del incendio","Tipo de vegetación de la quema","Estacionalidad","Intensidad","Extensión (Área quemada)","Clasificación del area de extensión","Numero de incendios","Duración","Distancia al lugar de estudio","Metodología empleada para determinar la trayectoria del incendio","Métodos para establecer el transporte del contamiante","Metodología para establecer la relación entre el incendio contam","Contaminante medido(PM2,5 o  black carbon)","Nivel de exposición (Individual o poblacional)","Unidad de tiempo de medición de la exposición","Forma para establecer la exposición: Técnica de medición (Selecc","¿Cúal?","Tipo de modelación empleada (solo para las aproximaciones por mo","Técnica en función del sitio (en el caso de que sea modelación)","Fuente de información de la exposición (en caso de datos secunda","Concentración estudiada del contaminate","Unidad de análisis","Co-variables de ajuste de la exposición mod","Tamaño de la unidad de análisis","Tipo de evento (Seleccione la opción)","Identificación de casos del evento (morbilidad)","Unidad de tiempo de medición del evento","Fuentes de 0ormación en salud","Tipo de fuente de información en salud (Seleccione la opción )","Método estadístico de análsis usado para establecer la relacion","Edades-Grupos etarios","Evento en salud","Clasificación CIE (Si lo hay)","Código de la CIE (Si lo hay)","Tipo de medida de asociación epidemiologica","Otro (Tipo de medida de asociación epidemiologica)","Co-variables de ajuste","Resultados ajustados","Intervalo de confianza inicio","Intervalo de confianza final","Caracteristicas adicionales del resultado","Temporalidad del rezago","Rezago puntual","Períodos de rezago acumulado","Observaciones"
"PM OCE 007","","http://dx.doi.org/10.1289/ehp.1408436","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65-74","Paro cardiaco fuera del hospital","S.I","S.I","","Porcentaje de OR","Temperatura, Humedad relativa","4.14","-2.07","10.73","Periodo No Incendios","Hora","0","NA",""
"PM OCE 007","","http://dx.doi.org/10.1289/ehp.1408436","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65-74","Paro cardiaco fuera del hospital","S.I","S.I","","Porcentaje de OR","Temperatura, Humedad relativa","3.22","-3.04","9.88","Periodo No Incendios","Hora","1","NA",""
"PM OCE 007","","http://dx.doi.org/10.1289/ehp.1408436","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65-74","Paro cardiaco fuera del hospital","S.I","S.I","","Porcentaje de OR","Temperatura, Humedad relativa","2.72","-3.66","9.52","Periodo No Incendios","Hora","2","NA",""
"PM OCE 007","","http://dx.doi.org/10.1289/ehp.1408436","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65-74","Paro cardiaco fuera del hospital","S.I","S.I","","Porcentaje de OR","Temperatura, Humedad relativa","3.84","-2.60","10.72","Periodo No Incendios","Hora","NA","0-2",""
"PM OCE 007","","http://dx.doi.org/10.1289/ehp.1408436","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65-74","Paro cardiaco fuera del hospital","S.I","S.I","","Porcentaje de OR","Temperatura, Humedad relativa","3.71","-2.92","10.80","Periodo No Incendios","Hora","NA","0-3",""
"PM OCE 007","","http://dx.doi.org/10.1289/ehp.1408436","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65-74","Paro cardiaco fuera del hospital","S.I","S.I","","Porcentaje de OR","Temperatura, Humedad relativa","3.87","-2.92","11.13","Periodo No Incendios","Hora","NA","0-4",""
"PM OCE 007","","http://dx.doi.org/10.1289/ehp.1408436","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65-74","Paro cardiaco fuera del hospital","S.I","S.I","","Porcentaje de OR","Temperatura, Humedad relativa","4.93","-2.17","12.55","Periodo No Incendios","Hora","NA","0-8",""
"PM OCE 007","","http://dx.doi.org/10.1289/ehp.1408436","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65-74","Paro cardiaco fuera del hospital","S.I","S.I","","Porcentaje de OR","Temperatura, Humedad relativa","4.45","-2.71","12.13","Periodo No Incendios","Hora","NA","0-12",""
"PM AME 023","","https://doi.org/10.1681/ASN.2019101066","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Mortalidad por causas cardiacas","S.I","S.I","RR","NA","PM 2.5 de fondo, Índice de calor, día de la semana, fechas continuas con un desplazamiento de modalidad","0.98","0.86","1.11","Muertes en lugar no clínico","Día","NA","0-14",""
"PM AME 023","","https://doi.org/10.1681/ASN.2019101066","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Mortalidad por causas cardiacas","S.I","S.I","RR","NA","PM 2.5 de fondo, Índice de calor, día de la semana, fechas continuas con un desplazamiento de modalidad","1.00","0.87","1.16","Muertes en lugar no clínico","Día","NA","0-30",""
"PM AME 023","","https://doi.org/10.1681/ASN.2019101066","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Mortalidad por causas cardiacas","S.I","S.I","RR","NA","PM 2.5 de fondo, Índice de calor, día de la semana, fechas continuas con un desplazamiento de modalidad","1.02","0.97","1.08","Muertes en lugar clínico","Día","0","NA",""
"PM AME 023","","https://doi.org/10.1681/ASN.2019101066","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Mortalidad por causas cardiacas","S.I","S.I","RR","NA","PM 2.5 de fondo, Índice de calor, día de la semana, fechas continuas con un desplazamiento de modalidad","1.03","0.98","1.10","Muertes en lugar clínico","Día","NA","0-1",""
"PM AME 023","","https://doi.org/10.1681/ASN.2019101066","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Mortalidad por causas cardiacas","S.I","S.I","RR","NA","PM 2.5 de fondo, Índice de calor, día de la semana, fechas continuas con un desplazamiento de modalidad","1.03","0.96","1.11","Muertes en lugar clínico","Día","NA","0-7",""
"PM AME 023","","https://doi.org/10.1681/ASN.2019101066","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Mortalidad por causas cardiacas","S.I","S.I","RR","NA","PM 2.5 de fondo, Índice de calor, día de la semana, fechas continuas con un desplazamiento de modalidad","0.99","0.90","1.08","Muertes en lugar clínico","Día","NA","0-14",""
"PM AME 023","","https://doi.org/10.1681/ASN.2019101066","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Mortalidad por causas cardiacas","S.I","S.I","RR","NA","PM 2.5 de fondo, Índice de calor, día de la semana, fechas continuas con un desplazamiento de modalidad","0.98","0.88","1.10","Muertes en lugar clínico","Día","NA","0-30",""
"PM AME 023","","https://doi.org/10.1681/ASN.2019101066","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Mortalidad por enfermedades vasculares","S.I","S.I","RR","NA","PM 2.5 de fondo, Índice de calor, día de la semana, fechas continuas con un desplazamiento de modalidad","0.96","0.80","1.15","Muertes en todos los lugares","Día","0","NA",""
"PM AME 023","","https://doi.org/10.1681/ASN.2019101066","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Mortalidad por enfermedades vasculares","S.I","S.I","RR","NA","PM 2.5 de fondo, Índice de calor, día de la semana, fechas continuas con un desplazamiento de modalidad","0.97","0.81","1.17","Muertes en todos los lugares","Día","NA","0-1",""
"PM AME 023","","https://doi.org/10.1681/ASN.2019101066","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Mortalidad por enfermedades vasculares","S.I","S.I","RR","NA","PM 2.5 de fondo, Índice de calor, día de la semana, fechas continuas con un desplazamiento de modalidad","0.93","0.73","1.18","Muertes en todos los lugares","Día","NA","0-7",""
"PM AME 023","","https://doi.org/10.1681/ASN.2019101066","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Mortalidad por enfermedades vasculares","S.I","S.I","RR","NA","PM 2.5 de fondo, Índice de calor, día de la semana, fechas continuas con un desplazamiento de modalidad","0.92","0.71","1.19","Muertes en todos los lugares","Día","NA","0-14",""
"PM AME 023","","https://doi.org/10.1681/ASN.2019101066","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Mortalidad por enfermedades vasculares","S.I","S.I","RR","NA","PM 2.5 de fondo, Índice de calor, día de la semana, fechas continuas con un desplazamiento de modalidad","0.93","0.70","1.23","Muertes en todos los lugares","Día","NA","0-30",""
"PM AME 023","","https://doi.org/10.1681/ASN.2019101066","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Mortalidad por enfermedades vasculares","S.I","S.I","RR","NA","PM 2.5 de fondo, Índice de calor, día de la semana, fechas continuas con un desplazamiento de modalidad","1.10","0.87","1.38","Muertes en lugar no clínico","Día","0","NA",""
"PM AME 023","","https://doi.org/10.1681/ASN.2019101066","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Mortalidad por enfermedades vasculares","S.I","S.I","RR","NA","PM 2.5 de fondo, Índice de calor, día de la semana, fechas continuas con un desplazamiento de modalidad","1.13","0.90","1.41","Muertes en lugar no clínico","Día","NA","0-1",""
"PM AME 023","","https://doi.org/10.1681/ASN.2019101066","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Mortalidad por enfermedades vasculares","S.I","S.I","RR","NA","PM 2.5 de fondo, Índice de calor, día de la semana, fechas continuas con un desplazamiento de modalidad","1.12","0.80","1.56","Muertes en lugar no clínico","Día","NA","0-7",""
"PM AME 023","","https://doi.org/10.1681/ASN.2019101066","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Todas las edades","Mortalidad por enfermedades vasculares","S.I","S.I","RR","NA","PM 2.5 de fondo, Índice de calor, día de la semana, fechas continuas con un desplazamiento de modalidad","1.10","0.75","1.61","Muertes en lugar no clínico","Día","NA","0-14",""
"PM OCE 006","","https://doi.org/10.1016/j.envpol.2021.116498","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S.I","Enfermedad cardiovascular","S.I","S.I","Incrementos en la incidencia y frecuencia evt","NA","S.I","26.6","15.2","38.0","Admisiones hospitalarias esperadas; Geelong South","","S.I","S.I",""
"PM OCE 006","","https://doi.org/10.1016/j.envpol.2021.116498","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S.I","Enfermedad cardiovascular","S.I","S.I","Incrementos en la incidencia y frecuencia evt","NA","S.I","22.3","12.7","32.0","Admisiones hospitalarias esperadas;  Traralgon","","S.I","S.I",""
"PM OCE 006","","https://doi.org/10.1016/j.envpol.2021.116498","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S.I","Enfermedad cardiovascular","S.I","S.I","Incrementos en la incidencia y frecuencia evt","NA","S.I","19.0","10.1","28.0","Admisiones hospitalarias esperadas; Morwell South","","S.I","S.I",""
"PM OCE 006","","https://doi.org/10.1016/j.envpol.2021.116498","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S.I","Enfermedad cardiovascular","S.I","S.I","Incrementos en la incidencia y frecuencia evt","NA","S.I","21.5","12.4","30.6","Admisiones hospitalarias esperadas; Morwell East","","S.I","S.I",""
"PM OCE 006","","https://doi.org/10.1016/j.envpol.2021.116498","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S.I","Enfermedad cardiovascular","S.I","S.I","Incrementos en la incidencia y frecuencia evt","NA","S.I","305.6","164.8","446.3","Admisiones hospitalarias esperadas;  Total Zona Victoria","","S.I","S.I",""
"PM OCE 006","","https://doi.org/10.1016/j.envpol.2021.116498","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S.I","Enfermedad cardiovascular","S.I","S.I","Incrementos en la incidencia y frecuencia evt","NA","S.I","126.6","65.5","187.8","Admisiones hospitalarias esperadas; Prospect","","S.I","S.I",""
"PM OCE 006","","https://doi.org/10.1016/j.envpol.2021.116498","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S.I","Enfermedad cardiovascular","S.I","S.I","Incredmentos en la incidencia y frecuencia evt","NA","S.I","134.5","68.9","200.0","Admisiones hospitalarias esperadas; Rozelle","","S.I","S.I",""
"PM OCE 006","","https://doi.org/10.1016/j.envpol.2021.116498","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S.I","Enfermedad cardiovascular","S.I","S.I","Incrementos en la incidencia y frecuencia evt","NA","S.I","116.0","63.2","168.8","Admisiones hospitalarias esperadas; Liverpool","","S.I","S.I",""
"PM OCE 006","","https://doi.org/10.1016/j.envpol.2021.116498","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S.I","Enfermedad cardiovascular","S.I","S.I","Incrementos en la incidencia y frecuencia evt","NA","S.I","84.5","47.0","122.1","Admisiones hospitalarias esperadas; Oakdale","","S.I","S.I",""
"PM OCE 006","","https://doi.org/10.1016/j.envpol.2021.116498","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S.I","Enfermedad cardiovascular","S.I","S.I","Incrementos en la incidencia y frecuencia evt","NA","S.I","85.2","47.9","122.4","Admisiones hospitalarias esperadas; Bringelly","","S.I","S.I",""
"PM OCE 006","","https://doi.org/10.1016/j.envpol.2021.116498","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S.I","Enfermedad cardiovascular","S.I","S.I","Incrementos en la incidencia y frecuencia evt","NA","S.I","28.7","16.1","41.3","Admisiones hospitalarias esperadas; Wallsend","","S.I","S.I",""
"PM OCE 006","","https://doi.org/10.1016/j.envpol.2021.116498","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S.I","Enfermedad cardiovascular","S.I","S.I","Incrementos en la incidencia y frecuencia evt","NA","S.I","31.5","18.0","45.0","Admisiones hospitalarias esperadas; Kembla Grange","","S.I","S.I",""
"PM OCE 006","","https://doi.org/10.1016/j.envpol.2021.116498","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S.I","Enfermedad cardiovascular","S.I","S.I","Incrementos en la incidencia y frecuencia evt","NA","S.I","607.1","326.6","887.5","Admisiones hospitalarias esperadas; NSW total","","S.I","S.I",""
"PM OCE 006","","https://doi.org/10.1016/j.envpol.2021.116498","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S.I","Todas las causas","S.I","S.I","Incrementos en la incidencia y frecuencia evt","NA","S.I","39.9","24.2","55.7","Mortalidad; Melbourne CBD","","S.I","S.I",""
"PM OCE 006","","https://doi.org/10.1016/j.envpol.2021.116498","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S.I","Todas las causas","S.I","S.I","Incrementos en la incidencia y frecuencia evt","NA","S.I","25.5","16.2","34.9","Mortalidad; Footscray","","S.I","S.I",""
"PM OCE 006","","https://doi.org/10.1016/j.envpol.2021.116498","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S.I","Todas las causas","S.I","S.I","Incrementos en la incidencia y frecuencia evt","NA","S.I","7.8","5.2","10.4","Mortalidad; Geelong South","","S.I","S.I",""
"PM OCE 006","","https://doi.org/10.1016/j.envpol.2021.116498","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S.I","Todas las causas","S.I","S.I","Incrementos en la incidencia y frecuencia evt","NA","S.I","6.5","4.3","8.7","Mortalidad; Traralgon","","S.I","S.I",""
"PM OCE 006","","https://doi.org/10.1016/j.envpol.2021.116498","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S.I","Todas las causas","S.I","S.I","Incrementos en la incidencia y frecuencia evt","NA","S.I","5.5","3.4","7.6","Mortalidad; Morwell South","","S.I","S.I",""
"PM OCE 006","","https://doi.org/10.1016/j.envpol.2021.116498","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S.I","Todas las causas","S.I","S.I","Incrementos en la incidencia y frecuencia evt","NA","S.I","6.2","4.2","8.3","Mortalidad; Morwell East","","S.I","S.I",""
"PM OCE 006","","https://doi.org/10.1016/j.envpol.2021.116498","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S.I","Todas las causas","S.I","S.I","Incrementos en la incidencia y frecuencia evt","NA","S.I","91.5","57.3","125.7","Mortalidad;  Total Zona Victoria","","S.I","S.I",""
"PM OCE 006","","https://doi.org/10.1016/j.envpol.2021.116498","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S.I","Todas las causas","S.I","S.I","Incrementos en la incidencia y frecuencia evt","NA","S.I","31.9","19.4","44.4","Mortalidad; Prospect","","S.I","S.I",""
"PM OCE 006","","https://doi.org/10.1016/j.envpol.2021.116498","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S.I","Todas las causas","S.I","S.I","Incrementos en la incidencia y frecuencia evt","NA","S.I","34.0","19.9","48.1","Mortalidad; Rozelle","","S.I","S.I",""
"PM OCE 006","","https://doi.org/10.1016/j.envpol.2021.116498","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S.I","Todas las causas","S.I","S.I","Incrementos en la incidencia y frecuencia evt","NA","S.I","29.2","18.5","40.0","Mortalidad; Liverpool","","S.I","S.I",""
"PM OCE 006","","https://doi.org/10.1016/j.envpol.2021.116498","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S.I","Todas las causas","S.I","S.I","Incrementos en la incidencia y frecuencia evt","NA","S.I","21.1","13.8","28.5","Mortalidad; Oakdale","","S.I","S.I",""
"PM OCE 006","","https://doi.org/10.1016/j.envpol.2021.116498","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S.I","Todas las causas","S.I","S.I","Incrementos en la incidencia y frecuencia evt","NA","S.I","21.1","13.6","28.7","Mortalidad; Bringelly","","S.I","S.I",""
"PM OCE 006","","https://doi.org/10.1016/j.envpol.2021.116498","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S.I","Todas las causas","S.I","S.I","Incrementos en la incidencia y frecuencia evt","NA","S.I","7.0","4.6","9.4","Mortalidad; Wallsend","","S.I","S.I",""
"PM OCE 006","","https://doi.org/10.1016/j.envpol.2021.116498","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S.I","Todas las causas","S.I","S.I","Incrementos en la incidencia y frecuencia evt","NA","S.I","7.7","5.2","10.2","Mortalidad; Kembla Grange","","S.I","S.I",""
"PM OCE 006","","https://doi.org/10.1016/j.envpol.2021.116498","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S.I","Todas las causas","S.I","S.I","Incrementos en la incidencia y frecuencia evt","NA","S.I","152.1","95.0","209.3","Mortalidad; NSW total","","S.I","S.I",""
"PM OCE 007","Forest Fire Smoke Exposures and Out-of-Hospital Cardiac Arrests in Melbourne, Australia: A Case-Crossover Study","http://dx.doi.org/10.1289/ehp.1408436._x000D_
http://dx.doi.org/10.1289/ehp.1408436._x000D_
http://dx.doi.org/10.1289/ehp.1408436","Dennekamp, Martine","2015","OCE","Melbourne","Case Crossover","NA","Julio 2006  a Junio 2007","1 año","S.I","Noviembre 2006- Marzo 2007","Estado de Victoria (Australia)","S.I","Noviembre-Marzo","S.I","Más de 1 millón de hectáreas","S.I","S.I","S.I","S.I","Retrotrayectorias de las masas de aire","S.I","Combinación de modelos de transporte químico y aumentos observados en las concentraciones de partículas y gases durante los incendios forestales, las horas-fuego se identificaron como aquellas en las que la concentración de PM 2,5 por hora era > 50 μg/m 3","PM2.5","Poblacional","S.I","Exposición poblacional","NA","NA","NA","Autoridad de Protección Ambiental (EPA) Victoria-1 Estación central de monitoreo Melboure","IQR 6,1 μg/m3","Registro de paros cardiacos en ambulancia","NA","S.I","Morbilidad","Casos de paro cardiaco en ambulancia, sólo del área metropolitana de Melboure, con presunta etiología cardíaca y ocurrieron en personas ≥ 35 años de edad","Hora","Registro Victoriano de Paro Cardíaco en Ambulancia (VACAR) de Victoria. Incluye la hora exacta de la llamada de emergencia de forma individual","Secundaria","Case Crossover  utilizando un período de referencia estratificado en el tiempo para seleccionar las exposiciones de control asociadas con cada caso índice, donde la exposición del caso fue la exposición en la hora en que ocurrió el paro","S.I","Paro cardiaco fuera del hospital","S.I","S.I","Otra","Porcentaje de OR","Temperatura, Humedad relativa","1.35","-1.02","3.77","Periodo No Incendios","Hora","0","NA","El estudio contempla la temporada anual de peligro de incendios (Las más altas de la época), que es una indicación de cuán peligroso sería un incendio si comenzara. Época incendios (Nov 2006-Marzo 2007). No incendios (Julio 2006-Junio 2007)"
"PM OCE 007","","http://dx.doi.org/10.1289/ehp.1408436","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S.I","Paro cardiaco fuera del hospital","S.I","S.I","","Porcentaje de OR","Temperatura, Humedad relativa","1.21","-1.23","3.71","Periodo No Incendios","Hora","1","NA",""
"PM OCE 007","","http://dx.doi.org/10.1289/ehp.1408436","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S.I","Paro cardiaco fuera del hospital","S.I","S.I","","Porcentaje de OR","Temperatura, Humedad relativa","0.13","-2.36","2.68","Periodo No Incendios","Hora","2","NA",""
"PM OCE 007","","http://dx.doi.org/10.1289/ehp.1408436","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S.I","Paro cardiaco fuera del hospital","S.I","S.I","","Porcentaje de OR","Temperatura, Humedad relativa","1.30","-1.15","3.81","Periodo No Incendios","Hora","NA","0-2",""
"PM OCE 007","","http://dx.doi.org/10.1289/ehp.1408436","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S.I","Paro cardiaco fuera del hospital","S.I","S.I","","Porcentaje de OR","Temperatura, Humedad relativa","0.94","-1.58","3.53","Periodo No Incendios","Hora","NA","0-3",""
"PM OCE 007","","http://dx.doi.org/10.1289/ehp.1408436","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S.I","Paro cardiaco fuera del hospital","S.I","S.I","","Porcentaje de OR","Temperatura, Humedad relativa","0.93","-1.66","3.59","Periodo No Incendios","Hora","NA","0-4",""
